	Unnamed: 0	title	text	travel_date	rating	location	label
0	0	Too small! Also this is not a city.	The cave was kind of interesting but tour guide didn't know much about it's origins. I am pretty tall and i couldn't stand up for the majority of the tour due to low ceilings and i had to crab walk through some of the passages just to get through. Not a good tour for large, tall or elderly people.  Also this is NOT a city. It is a refuge. Basically a bunch of small rooms joined by smaller tunnels. No large impressive areas.	2022-01	3	1	1
1	1	Fascinating but physically demanding	Derinkuyu is a fascinating underground city that is worth a visit while in Cappadocia. However be warned that the experience can be physically strenuous due to the need to ascend and descend steep and narrow staircases going down as far as 85m (approx. 300ft) underground. A tall person like myself did a range of minor damage with bruises and scratches to my head.	2022-01	4	1	0
2	2	Visit before Kaymakli or skip it	Derinkuyu is the biggest underground town in the area, however I wasn't that impressed with it. Maybe because we visited Kaymakli first which is smaller but far more interesting with much more rooms and tunnels than Derinkuyu.Both of them had similar purpose - to provide shelter for people living above them. They could accommodate around 20.000 people with their live stock, food supplies, water, etc...Be informed that visiting both of them requires good health and mobility conditions, as there're many steps, narrow passageways with reduced height and uneven terrain.	2021-08	3	1	1
3	3	Worth a visit.	Very enjoyable - but really intense... Narrow passageways and you go really far down. I was ok with most of it but the graves - wow that was spooky. We did this underground city after the one in Kayamalki - which was a good order. Because we did in this order we did not get a guide - we think this was a good way to do it!	2021-07	5	1	1
4	4	Unique as can be	If you want a unique experience, then any of Cappadocia's underground cities will fill the bill. The fact that Derinkuyu exists at all is amazing. I highly recommend it... just watch your head, as many of the passageways are so small you have to bend over in half to get through. Not for the claustrophobic or faint of heart.	2021-03	5	1	1
5	5	Unique experience if you are in historical places	We went there in march it's a 1 hour ride from goreme it's a unique experience how people used to live underground it's has 6 floors pathways are very small and narrow you have to bend down to cross it some area you have to sit and walk to get to the other side would recommend it if you are in to historical places but if any one is claustrophobic than I wouldn't recommend them as it's very small and narrow.	2021-03	4	1	1
6	6	Good footing	This seems to be a more established underground city in the area: well-defined paths with what felt like sterilized spaces. Seemed less interesting than Kaymakli underground city, but also less claustrophobic with larger spaces and more lighting.	2020-11	3	1	1
7	7	Dont waste time or money	Visited both underground cities in one day.   For 100 lira, this is not worth it.  Go down a lot of stairs and come out in a couple large rooms but that was it.  You dont get to go down 8 different stories and look at different rooms.  We were there for 15 minutes and really had seen everything there was to see.	2020-08	2	1	1
8	8	Great Underground City Experience	If you want to do some underground city exploration, this is a great place to visit. Many rooms, passageways, and tunnels to traverse and photograph, and good exercise as well! :) This is said to be the deepest underground city in Cappadocia, and I counted 220 steps from the lowest to the highest point, but of course there are many other stairways involved if you desire to poke around.	2020-07	5	1	1
9	9	Don’t Miss if you are in Cappadocia	Been there twice and did not feel any less excited even second time. One of the marvels of ancient world which takes you hundreds of years back in time.	2020-02	5	1	0
10	10	Largest Underground City in Cappadocia	The hugest underground city being discovered in Capaddocia 1. The tour guide told us that this Derinkuyu Underground city is the hugest underground city being discovered in Capaddocia. Though there is more to discover.2. If you are afraid of tight space or you have breathing problem, it is not a good place for you to visit. 3. Do you know that this underground city can shelter 20,000 people? 4. Do you know that this underground city is built more than 1200 years ago? 5. Definitely worth your time travelling and you would not regret.	2020-01	5	1	1
