	title	text	travel_date	rating	location
0	Derinkuyu Yeraltı Şehri	Güzel bir gezi oldu bizim için . Girişte biraz yoğunluk vardı ama değdi gerçekten . Bazı kısımlar oldukça alçak ve dar bazı kısımlar kapalı bazı kısımlarda sanırım göçük olduğu için daha fazla genisletilememis . İçerideki atmosfer kesinlikle harcadığınız zamana ve sarf ettiğiniz efora degecektir.	2022-05	5	1
1	YerAlti Tarihi	Ülkemizde bu kadar tarihi ender rastlanacak bölgeler varken derinkuyu bakımsız olmasi nedeniyle bence ihmal ediliyor. Yer altinin tarihi odalarin aciklamalari icerikler o kadar az ki sadece gidip görüyorsunuz. Iceride herhangi bir guvenlik onlemi yok yani nefes darligi yaşayan bayilan olsa cikartamazlar cunku acil durum butonlari yok yer alti sehri olmasından kaynaklı cok kucuk ve dar egilerel yürüdüğünuz alanlardan geciyorsunuz sabit bir rota olusturulmamis insanlar dağınık ve düzensiz. Ozellikle boyle bir yerde muze gorevlileri HES koduna bile bakmadilar. Tarihimizi anlatmakta bu güzellikleri bitirmekte kararlı olduğumuz için tum duvarlara isimler kazınmış kendi ülkemize ihanet ettiğimiz gibi dünya tarihine de ihanet ediyoruz.	2021-10	3	1
2	Görülmeye değer 🍀	Yerin altına bu denli bir şehir kurulur mu demeyin kuruluyormuş hem de şu anda bilinen 13 kat kurulmuş ve maksimum 8 kat aşağıya inebiliyorsunuz. Gerçekten görülmeye girilmeye değer bir yer. Fakat dar alanlara girme korkunuz varsa girmemenizi tavsiye ederim. Özellikle kalp hastalığı, astım hastalığı olanların girmemesi rica ediliyor. Bazı alanlarda her türlü eğilmeniz gerekiyor dik yürümeniz çok zor bir yer. Özellikle uzun boylu arkadaşların eğilip yürümesi biraz daha zor olabiliyor.	2021-09	5	1
3	Mutlaka deneyin	Çok uzun boylular, kalp ve astım hastaları  kesinlikle girmemeli. Bu tip bir sorununuz yoksa mutlaka girin, çok ilginç bir deneyim.	2021-09	5	1
4	mutlaka 1 kez gidilmeli	herkesin mutlaka görmesi gereken etkileyici bir yer ancak kapalı alanda bunalan biri iseniz sizi birazcık sıkabilir. en büyük sıkıntı ise birçok yerde eğilmek zorunda kalıyorsunuz ve çıkışta bacaklarınız oldukça zorlanmış oluyor.mümkünse o bölgede gezecekseniz müzekart alın. yoksa biraz pahalı gelebilir	2020-06	3	1
5	Derinkuyu Yeraltı Şehri	Türkiye'de mutlaka görülmesi gereken yerlerde 1. sırada. Müthiş bir mühendislik harikası. Klostrofobisi olanlar ve solunum rahatsızlığı olanlar için sıkıntı olabilir. 8. kattaki mezarlığa gidebilmek için vücudunuzu iyice küçültmeniz gerekecek. Uzun ve tek kişilik olan bu yolda, telefonunuzun ışığını yakıp ve ses vererek aşağıdan gelenleri durdurmalısınız.50 bin kişilik olduğu iddia edilen şehir, güvenlik amacıyla inşa edilmiş. Henüz şehrin sadece % 25'inin keşfedildiği ve 4 şehrin (NevşehirKayseri,Niğde ve Aksaray) altında keşfedilmeyi beklemekteymiş.Giriş fiyatı 50 tl. Müze kart geçerli.	2020-07	5	1
6	Görülmeye değer	Girişte de uyarı var, tansiyon hastaları, kalp hastaları için gezmesi riskli bir yer. Çok fazla merdiven var. Geçitler, tüneller çok dar. Eğilerek iniyorsunuz. Müze kart geçerli. Gizemli ve ürkütücü bir havası var. Görülmeye değer...	2020-11	4	1
7	sağmalık inek olduk	gidip görmek mesele değilde 4 kişik bir ailenin giriş ücreti ne kadar tutuyor bilirmisiniz...200 tl.yazıktır ya.şu ücreti makul bir şey yapında herkes görsün,bilgilensin.keza pamukkalede öyle.bizim vergilerimizle hayata geçirilen her şey yine bize parayla.yoldu,hastaneydi,altgeçitti,havaalanıydı.devletimiz bizi sağmalık ineğe çevirdi.	2020-09	1	1
8	Derinkuyu yeraltı şehri	Burası dünyanın en büyük yeraltı şehirlerinden birisidir ,merdivenden inmek zor olabilir ,Merdivener, odalar , burada yaşam kurmak için yerler var. Yazın çok soğuk olur kışın ise bu yeraltı şehri daha sıcak olur muhakkak buraya uğrayın girişler müzekartla bedava yapılıyor Öğretmen ve öğrenci giriş söyle bedavadır, Müzekart almayanlar içinde 50 TL'dir.	2020-11	5	1
9	Muhteşem	Kapadokya bölgesinde görebileceğiniz en iyi yer altı şehri hemen yanındaki kilise hırıstıyanlığın en eski ve kutsal kiliselerinden ve Yeraltı şehri bölgedeki en iyi ve en büyük olanı kesinlikle tavsiye ederim	2020-10	5	1
10	Yer altı şehrine inanmıyorum	Yer altı şehri aslında yerin üstünde olarak düşünün yüksek bir dağın içi oyularak içinden çıkan kaya  ve toprak parçalarının etrafına boşaltılarak dağın zirvesine gelmesiyle yer seviyesinin altına kalabilir  dağı oymak ev şekline getirmek yer altına inmekten daha kolay	2019-11	5	1
11	Mükemmel	Mükemmel bir iticilik ve mimarisi var dar tuneller biraz yuruöeyı zorlasa da gezılıp görülmeye kesınlıkle deger sizi yüzyıllar öncesine götürebilir diyebilirim. Nevşehire gıdıpte Derinkuyu yeraltı şehrini görmeden sakın gecmeyin derim.	2020-08	5	1
12	Harika bir yerin altına yolculuk	Giriş ücreti  öğrenciler , öğretmenler  ve müze  kartı olanlar için yok.  Sivil giriş 50 TL.  O yüzden  1 yıl  geçerli  müze  kartı  çıkartmak daha mantıklı  orada  hemen.  Müze kartı ücreti ise  60 TL. Yer altı  şehrine gelince  dünyanın en büyük yer altı şehr-i imiş.  Ben  beğendim.  Aşağıya  doğru  dar merdivenlerden  indikçe  karşınıza  odacıklar  çıkıyor.  Ve aşağıya  indikçe  üşüyorsun.  Aynen  Agustos  ayında  üşüdüm  resmen.	2020-08	5	1
13	Etkileyici Bir Yaşam	Yerin bu kadar altında bir yaşamın sürdürülmesi inanılmaz etkileyici bir durum. Derin Kuyu ve Kaymaklı'da ki yer altı şehirlerini gezdikten sonra tarihe ilgim daha çok arttı. Derin Kuyu'da gezerken rehberimiz Selim Bey'in olayları en ince noktasına kadar anlatması ve bunları öğrenmek bizi ayrıca etkiledi. Yer altı şehirleri etkileyici ama rehber ile gezerken anlatılanları dinledikçe şaşkınlığınız dahada artıyor. Örneğin bu insanlar yer altında tuvaletlerini nasıl yapıyorlarmış. Bence gezilip görülmesi gereken yerlerin başında geliyor.	2020-07	5	1
14	Seyahat	Derinkuyu Yeraltı Şehri Kapadokya Bölgesinde Bulunan, Kayalara Oyulmuş Şehir. Kapadokya’nın Jeolojik Oluşumu Sayesinde İnşa Edilmiş Sekiz Katlı Derinkuyu Yeraltı Şehri, Büyük Bir Topluluğu İçinde Barındıracak Ve İhtiyaçlarını Karşılayacak Mekanlardan Oluşur. Bölgede Bulunan Bir Diğer Örnek Olan Kaymaklı Yeraltı Şehrinden Farklı Olarak Derinkuyu’da Bir Misyoner Okulu, Günah Çıkarma Yeri, Vaftiz Havuzu Ve İlgi Çekici Bir Kuyuda Bulunur. Derinkuyu’nun İlk Yerlileri Asur Kolonilerine Kadar Uzanıyor. 2. Yüzyılda Roma İmparatorluğu’nun Zulmünden Kaçan İlk Hristiyanlar Antakya Ve Kayseri Üzerinden Kapadokya’ya Gelerek Buraya Yerleşmişler. Bölgede Yeraltı Şehrinin Kuran İlk Hristiyanlar, Girişleri Kolayca Fark Edilemeyecek Şekilde Yapılmış Bu Şehirde Saklanarak Romalı Askerlerin Zulmünden Kurtulabilmişler.	2020-07	5	1
15	ETKİLEYİCİ BİR YER	Eski uygarlıkların nasıl yaşadıklarına merak ediyorsanız mutlaka ziyaret etmelisiniz.Tüneller son derece dar ve alçak bazı yerlerde çok eğilmek zorunda kalabiliyorsunuz. Kaymaklı'dan daha büyük  Zaman zaman tünellerde beklemek zorunda kalabiliyorsunuz.Hayvan barınakları, havalandırma ve sarnıç olarak kullanılan dar tüneller ve odalar.Mutlaka müze pass alın diğer yerleri de gezdiğinizde daha ucuza giriş yapmış olacaksınız.Ayrıca bir yıl boyunca passı bir çok ören yer ve müzelerde kullanma şansını bulunmakta.	2019-09	5	1
16	İlginç	İnsanların o kadar derinleri özellikle kayalık bir yapıyı kazıp şehir inşa etmeleri gerçekten emek işi. İlginç tarafları var görmeniz gereken yerler arasına alabilirsiniz.	2020-01	5	1
17	Etkileyici	Biraz uzak ama diğerlerinden daha büyükmüş. İnanılmaz etkileyici Yerin bu kadar altına iniyor olmak.	2019-08	5	1
18	Burasi mi kaymakli mi derseniz?	Burasi bir tik uzak ama daha buyuk ve icerisi bi derece daha dar o bakimdan hosunuza gider mi bilemem tercih sizin.Kaymakli daha genis ve biraz daha cabuk bitiyor buraya nazaran,giriste muze pass alirsaniz ikisine de kullanabilirsiniz aklinizda bulunsun.Ayrica tam onune prkedince bos arazide otopark ucreti aliyolar az geriye parkedince bu sacma uygulamadan uzak durmaniz icin	2019-12	4	1
19	Görmek gerek	8 kat yerin altına yaklaşik 85metre derin'e iniyorsunuz dar enteresan bir okadar ürpertici eğer dar alan korkunuz var ise sakın inmeyin derim benim yok normal de ama çok daraldım özellikle merdiven kısmı çok dar inip çıkarken karşıdan başka bir grup'un gelmemesi için dua edin gelirse işiniz zor panik olursanız Allah bile kurtaramaz.Müze kart şart hemen girişte çıkartabilirsiniz.	2019-11	5	1
